Order ID,Order Date,Product,Category,Region,Quantity,Price,Sales
10001,2023-01-01 00:00:00.000000000,Mouse,Accessories,West,4,48969,195876
10002,2023-01-01 01:44:51.178235647,Monitor,Electronics,West,5,49838,249190
10003,2023-01-01 03:29:42.356471294,Keyboard,Electronics,North,5,9734,48670
10004,2023-01-01 05:14:33.534706941,Monitor,Accessories,West,5,42651,213255
10005,2023-01-01 06:59:24.712942588,Monitor,Accessories,West,4,34793,139172
10006,2023-01-01 08:44:15.891178235,Headphones,Electronics,South,4,13197,52788
10007,2023-01-01 10:29:07.069413882,Keyboard,Accessories,West,2,4359,8718
10008,2023-01-01 12:13:58.247649529,Keyboard,Accessories,North,3,39025,117075
10009,2023-01-01 13:58:49.425885177,Keyboard,Electronics,South,5,55888,279440
10010,2023-01-01 15:43:40.604120824,Monitor,Electronics,North,2,57831,115662
10011,2023-01-01 17:28:31.782356471,Mouse,Electronics,East,2,36719,73438
10012,2023-01-01 19:13:22.960592118,Keyboard,Accessories,North,1,59073,59073
10013,2023-01-01 20:58:14.138827765,Webcam,Accessories,North,5,8389,41945
10014,2023-01-01 22:43:05.317063412,Monitor,Electronics,South,2,48434,96868
10015,2023-01-02 00:27:56.495299059,Headphones,Electronics,West,1,15952,15952
10016,2023-01-02 02:12:47.673534706,Mouse,Accessories,North,5,30075,150375
10017,2023-01-02 03:57:38.851770354,Webcam,Electronics,South,4,19939,79756
10018,2023-01-02 05:42:30.030006001,Webcam,Accessories,East,1,47995,47995
10019,2023-01-02 07:27:21.208241648,Headphones,Accessories,South,4,51302,205208
10020,2023-01-02 09:12:12.386477295,Mouse,Electronics,South,3,16624,49872
10021,2023-01-02 10:57:03.564712942,Monitor,Electronics,West,3,2735,8205
10022,2023-01-02 12:41:54.742948589,Laptop,Accessories,North,3,25315,75945
10023,2023-01-02 14:26:45.921184236,Mouse,Electronics,East,3,18422,55266
10024,2023-01-02 16:11:37.099419884,Headphones,Electronics,South,2,40137,80274
10025,2023-01-02 17:56:28.277655531,Webcam,Electronics,North,3,8127,24381
10026,2023-01-02 19:41:19.455891178,Monitor,Electronics,North,2,36680,73360
10027,2023-01-02 21:26:10.634126825,Mouse,Accessories,South,2,49232,98464
10028,2023-01-02 23:11:01.812362472,Laptop,Accessories,North,5,54992,274960
10029,2023-01-03 00:55:52.990598119,Laptop,Accessories,South,2,13606,27212
10030,2023-01-03 02:40:44.168833766,Keyboard,Accessories,South,2,33743,67486
10031,2023-01-03 04:25:35.347069413,Keyboard,Electronics,South,3,35010,105030
